table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Asked the person who forwarded/shared it with me whether it was accurate,64,37,27,16,14,14,9,12,7,6,28,14,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Blocked it or reported it to a social media platform,121,59,63,20,18,46,25,9,10,10,43,31,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Other,56,31,25,7,6,11,9,13,7,8,16,10,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Did nothing,484,215,269,66,58,97,70,72,64,114,122,156,97,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,1469,688,781,,,,,,,,562,412,203,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,304,274,244,223,260
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,1454,682,772,,,,,,,,427,414,300,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,298,269,245,188,259
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,NET: Did anything,660,308,352,,,,,,,,214,176,131,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,135,113,126,75,121
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Forwarded/ shared it with people I know,96,37,59,,,,,,,,18,24,17,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,22,15,13,15
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Used a fact checking site or tools,146,77,69,,,,,,,,49,36,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,33,31,26,16,21
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Used tips from media such as BBC website,213,101,112,,,,,,,,73,51,59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,47,32,37,24,44
