table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Cannot recall name,49,25,25,9,7,5,9,11,8,8,12,16,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,166,87,79,27,26,45,24,23,22,25,55,36,31,44,13,11,9,12,15,14,5,7,39,26,7,8,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,161,88*,73*,31**,30**,46*,20**,20**,19**,25**,51*,37**,32**,41*,13**,12**,7**,15**,16**,12**,7**,7**,36*,25**,6**,5**,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Full Fact,40,25,14,8,7,16,9,2,3,2,11,10,10,7,5,2,3,4,-,2,-,1,12,8,2,*,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Newsguard,26,14,12,8,8,14,2,2,-,-,9,3,9,6,1,1,1,3,3,1,1,-,10,5,-,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Sense about science,23,18,5,3,3,9,4,5,1,1,6,5,11,2,2,1,1,-,3,1,1,1,6,6,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Snopes,20,11,9,5,5,7,3,2,1,2,6,5,6,3,3,2,1,3,1,-,-,-,6,4,1,*,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Infotagion,10,5,5,3,3,4,2,1,1,-,3,2,2,3,-,-,1,3,-,1,-,-,3,2,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,First Draft News,8,3,5,-,-,3,5,-,-,-,4,-,2,2,-,-,1,-,1,1,1,-,2,1,-,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Poynter Institute,7,2,5,4,4,1,1,-,1,-,2,2,1,2,-,-,-,3,-,1,-,-,3,-,-,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Other,23,12,11,2,2,3,1,7,3,8,10,2,3,7,1,4,-,1,2,4,2,2,3,2,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 12th to 14th March 2021,Cannot recall name,57,30,27,9,9,12,5,6,12,14,15,15,6,21,6,3,2,4,8,5,1,2,8,11,3,3,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,199,101,98,26,23,43,35,40,23,32,78,52,27,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,199,103*,96*,27**,23**,45*,37**,39*,20**,31**,66*,53*,37**,43*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Full Fact,49,28,21,5,5,13,9,8,5,10,15,16,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
