table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,5,5,-,-,-,-,1,-,3,1,2,2,1,-,1,-,-,-,1,-,-,2,-,1,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,21,14,7,-,-,2,7,2,6,4,4,8,8,1,1,-,1,2,3,-,1,2,3,3,3,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,Mean,4,3.99,4.02,4.11,4.07,4.01,3.86,4.01,4.02,4.01,4.06,3.97,3.91,4.05,4.18,4.04,3.9,3.9,3.8,4.11,4.1,3.98,4.02,4.13,3.87,4.1,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.83,0.88,0.77,0.72,0.7,0.75,0.9,0.78,0.99,0.83,0.78,0.86,0.93,0.79,0.9,0.59,0.81,0.9,0.98,0.75,0.74,0.85,0.78,0.87,0.81,0.82,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,646,354,292,106,97,111,108,119,93,109,269,191,82,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,641,353,288,121*,111*,123*,107*,106,84*,100*,237,187,112*,105*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Trust,496,275,221,101,91,95,84,83,61,71,178,147,95,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 1st to 3rd May 2020,5 - Trust completely,184,101,83,46,37,37,29,32,16,24,67,48,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 1st to 3rd May 2020,4,312,174,138,55,54,57,55,52,45,47,111,99,56,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 1st to 3rd May 2020,3,115,54,61,19,19,26,17,18,17,19,46,30,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 1st to 3rd May 2020,2,26,22,4,1,1,1,6,4,6,8,12,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
