table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,Never,234,131,103,9,6,5,23,39,38,119,69,66,45,54,18,7,21,22,21,28,8,31,26,29,16,6,201,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2135,1020,1115,251,219,361,336,354,336,497,627,605,372,531,193,78,207,169,190,165,119,192,303,268,189,62,1761,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,1044,1091,295,254,356,331,367,307,479,581,602,433,519,178,85*,236,174,186,153,101*,201,282,292,182,64*,1792,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,NET: At least once a day,1666,804,863,279,241,326,284,290,208,279,447,467,346,407,137,67,190,136,133,121,82,157,225,231,139,49,1399,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,10 times or more a day,530,240,290,161,138,127,105,69,36,32,135,145,112,139,43,12,61,44,41,33,29,38,83,92,48,8,450,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,5-9 times a day,405,201,204,53,49,112,73,70,41,55,109,118,93,85,29,23,47,32,34,27,21,36,64,48,26,18,337,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,2-4 times a day,501,233,268,53,44,64,84,100,95,106,135,144,96,126,46,20,56,47,37,36,21,61,53,63,46,17,417,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,About once a day,230,129,100,11,10,22,21,51,36,87,68,60,44,57,19,14,26,14,22,25,10,23,25,28,19,5,195,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,A few times a week,133,65,69,6,5,14,13,29,27,45,38,40,24,31,16,8,12,9,13,9,5,8,18,18,13,6,107,,,
