table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Limiting your contact with other people (including family and friends),298,148,150,49,44,45,43,44,44,74,70,103,56,69,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Maintaining social distancing,449,232,217,65,58,76,77,77,69,86,126,112,85,127,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Wearing a face mask/ covering,436,191,245,55,43,74,72,67,55,113,124,113,89,109,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Staying at home as much as possible,237,111,127,24,20,39,45,45,34,51,58,62,64,53,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Work from home (if possible),130,65,65,19,15,26,19,32,21,12,39,52,19,21,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Not touching your face when outside,104,54,50,19,15,16,19,23,12,15,29,27,25,22,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,None of these,1,-,1,-,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Washing hands regularly and thoroughly,456,215,241,63,54,56,60,90,69,118,141,129,86,100,28,11,53,48,40,32,21,35,59,69,45,15,393,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Limiting your contact with other people (including family and friends),282,149,133,39,36,52,52,48,34,58,66,92,51,73,38,12,23,23,19,24,10,33,30,38,21,11,222,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Maintaining social distancing,521,246,275,64,54,79,77,92,77,132,124,148,112,138,43,26,66,30,50,31,27,55,81,58,45,10,443,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Wearing a face mask/ covering,478,228,251,61,52,89,75,70,70,113,132,133,93,120,38,19,60,33,38,39,24,48,47,81,37,15,402,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Staying at home as much as possible,205,99,106,29,24,28,31,38,37,42,55,50,48,53,16,14,18,17,20,15,12,19,32,20,14,8,170,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Work from home (if possible),141,79,62,23,22,35,27,25,19,11,44,39,35,22,14,3,11,11,16,10,6,9,26,15,14,6,115,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,Not touching your face when outside,101,54,47,21,18,25,18,12,11,14,32,24,19,26,6,*,10,16,8,6,5,8,14,18,8,1,89,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 9th to 11th October 2020,None of these,4,-,4,1,1,-,-,1,-,2,1,3,-,1,-,2,-,-,1,1,-,-,-,-,1,-,4,,,
