table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Slightly agree      (+1),438,218,220,88,73,95,80,70,48,58,124,121,100,94,37,16,46,32,43,22,23,44,70,56,39,11,368,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Neither agree nor    (0) disagree,263,140,123,53,47,66,53,39,23,28,61,85,55,63,22,11,29,23,21,21,12,27,30,40,22,6,224,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Slightly disagree   (-1),63,39,24,13,11,11,8,11,13,8,16,20,9,17,1,-,10,5,4,4,3,8,14,6,9,-,59,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Strongly disagree   (-2),87,52,35,1,1,10,18,22,11,25,25,17,15,29,7,2,17,4,6,5,3,8,9,16,8,2,75,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,NET: Disagree,150,91,59,14,11,21,26,32,24,33,41,37,25,47,8,2,27,9,10,8,6,16,23,23,17,2,134,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Mean,1.3,1.21,1.38,1.2,1.21,1.16,1.15,1.28,1.42,1.5,1.32,1.3,1.31,1.25,1.38,1.48,1.15,1.37,1.35,1.38,1.32,1.24,1.26,1.24,1.23,1.55,1.28,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,1.06,1.12,0.99,0.91,0.91,1.01,1.12,1.14,1.04,1.05,1.06,1.02,1.01,1.15,0.99,0.87,1.22,0.98,0.99,1.02,1.02,1.07,1.04,1.13,1.11,0.86,1.07,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,1655,785,870,221,189,245,254,271,252,413,465,464,325,401,135,69,187,131,147,117,83,156,227,221,135,48,1390,34,725,598
