table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 7th to 9th August 2020,NET: Important,359,195,164,52,45,94,69,68,40,36,116,129,57,58,,,,,,,,,,,,,,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 7th to 9th August 2020,1st most important,106,60,46,16,14,32,23,13,10,12,45,34,12,14,,,,,,,,,,,,,,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 7th to 9th August 2020,2nd most important,124,70,53,17,16,36,27,23,9,12,32,43,26,23,,,,,,,,,,,,,,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 7th to 9th August 2020,3rd most important,130,65,65,19,15,26,19,32,21,12,39,52,19,21,,,,,,,,,,,,,,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 7th to 9th August 2020,No answer,1761,842,919,240,206,260,259,296,265,439,461,469,373,457,,,,,,,,,,,,,,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 9th to 11th October 2020,NET: Important,379,201,179,61,57,105,85,51,48,30,113,128,74,65,39,10,30,27,27,38,19,33,60,48,35,13,308,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 9th to 11th October 2020,1st most important,119,59,60,15,14,33,34,17,12,8,28,48,22,21,10,3,9,9,6,20,7,13,20,14,6,2,100,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 9th to 11th October 2020,2nd most important,119,62,57,23,21,37,25,9,16,10,40,41,16,22,15,4,10,7,6,7,6,11,15,18,15,5,93,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 9th to 11th October 2020,3rd most important,141,79,62,23,22,35,27,25,19,11,44,39,35,22,14,3,11,11,16,10,6,9,26,15,14,6,115,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 9th to 11th October 2020,No answer,1810,870,940,241,204,261,254,325,268,461,483,489,371,467,143,77,212,151,164,120,85,173,228,252,152,53,1529,,,
