table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,24,23,43,26,18,112,122,110,71,269,80,310,324,330,344,-
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,5,5,25,8,5,60,48,60,34,138,46,160,164,173,181,-
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,7,15,4,7,26,30,30,29,50,17,70,66,69,76,-
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,*,*,*,-,1,*,*,*,1,*,1,1,1,1,-
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Washing hands regularly and thoroughly,479,203,276,63,53,85,78,76,65,111,123,140,100,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Limiting your contact with other people (including family and friends),403,199,204,46,36,66,49,68,83,91,110,122,73,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,552,271,281,86,74,65,82,96,80,143,156,152,105,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Wearing a face mask/ covering,84,41,43,17,17,22,11,14,10,10,17,18,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Staying at home as much as possible,334,173,161,42,37,57,60,56,41,78,100,94,74,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Work from home (if possible),178,103,75,31,28,35,28,35,22,27,59,55,35,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 5th to 7th June 2020,Not touching your face when outside,96,49,47,8,6,25,20,20,6,17,14,18,20,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Washing hands regularly and thoroughly,509,239,270,45,42,77,85,109,65,128,137,135,105,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
