table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,1027,1117,266,236,330,330,370,345,503,610,572,441,521,185,82,209,158,200,159,104,209,287,289,183,79,1776,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,1048,1096,296,260,358,332,369,309,481,583,605,435,521,179,85*,237,175,187,154,102*,202,283,293,183,64*,1799,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,NET: Closely,2066,1001,1065,285,249,336,323,353,301,469,563,585,418,500,176,82,224,164,185,151,94,197,270,280,180,62,1734,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Very closely        (+2),1849,863,986,238,202,285,288,321,275,442,509,533,360,447,158,73,203,147,158,136,89,179,231,255,162,60,1542,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Fairly closely      (+1),217,137,79,47,47,51,35,32,26,26,54,52,57,53,18,9,21,18,26,15,6,19,39,25,19,2,191,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Not very closely    (-1),52,29,24,9,9,16,7,10,4,7,18,11,9,14,3,-,10,9,2,1,5,2,9,9,1,2,42,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Not at all closely  (-2),26,19,7,2,2,7,3,5,4,5,3,8,8,7,-,3,3,1,1,2,2,3,3,4,2,*,23,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,NET: Not closely,78,48,30,11,11,22,9,16,8,12,21,19,17,21,3,3,13,10,3,3,8,4,13,13,3,2,66,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Mean,1.78,1.71,1.84,1.72,1.69,1.65,1.8,1.77,1.82,1.86,1.8,1.81,1.73,1.76,1.85,1.73,1.73,1.71,1.81,1.83,1.7,1.83,1.71,1.77,1.84,1.86,1.77,,,
Table 152,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.68,0.77,0.58,0.68,0.71,0.85,0.61,0.72,0.62,0.58,0.63,0.65,0.74,0.71,0.47,0.83,0.78,0.78,0.51,0.57,0.9,0.6,0.74,0.74,0.53,0.61,0.69,,,
