start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Advertising,2,,2,2,1,,-,-,-,-,1,1,-,,-,-,-,-,-,-,-,-,,2,-,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,-,-,-,-,-,1,-,1,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,1,1,-,-,-,1,-,-,1,1,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,“Broadsheets” such as The Times or Guardian,2,2,-,-,-,-,-,-,1,1,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Snapchat,2,1,1,2,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,ITV,2,2,-,-,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Direct from NHS website/ email/ text/ post,2,-,2,1,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Official scientists,2,2,-,-,-,-,-,1,-,1,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,1
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,1,1,1,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Celebrity and/or social media influencer,1,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Weighted base,150,67,83,14,13,36,35,14,19,32,46,43,30,31,16,9,18,10,15,7,8,14,19,22,9,3,123
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Sky,1,1,-,-,-,-,1,-,-,1,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Channel 4,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,“Broadsheets” such as The Times or Guardian ( online ),1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Other,16,5,11,-,-,2,5,1,3,5,6,5,3,2,1,-,-,-,2,3,-,4,1,2,1,1,14
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Broadcasters,17,9,8,4,3,3,1,1,1,8,5,6,4,2,3,-,1,1,4,-,3,2,1,1,2,-,12
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Non-BBC broadcasters,3,3,-,-,-,1,1,-,-,2,1,1,1,-,1,-,1,-,-,-,-,1,-,-,1,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: BBC services,17,8,8,4,3,3,-,1,1,8,5,6,4,2,3,-,1,1,4,-,3,1,1,1,2,-,11
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Newspapers (printed and online),11,8,4,1,1,2,1,-,3,4,3,4,1,3,1,-,2,1,1,-,-,-,2,2,2,-,10
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Officials,8,2,5,1,-,4,1,1,-,1,2,2,-,4,1,-,-,1,3,-,-,-,1,2,-,-,7
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Social Media,92,37,55,12,11,27,18,9,13,13,23,27,19,24,14,5,13,8,7,3,5,6,12,12,6,1,73
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Facebook (Facebook and Facebook Messenger),64,21,44,8,8,16,17,4,8,12,15,17,12,19,8,4,8,4,6,2,5,5,9,9,4,-,52
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),5,4,1,1,1,,1,-,-,3,1,1,2,1,-,1,-,-,-,-,-,-,3,1,-,-,5
