start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from NHS website/ email/ text/ post,2,1,1,-,-,-,-,1,-,1,2,-,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Podcasts,2,-,2,-,-,-,1,1,-,-,-,2,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,114,54,61,24,22,29,14,13,12,23,38,30,22,25,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Official scientists,2,-,2,1,1,-,-,1,-,-,-,1,1,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,ITV,1,,1,-,-,-,1,-,1,,-,1,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,STV,1,-,1,-,-,-,1,-,1,-,-,1,1,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Commercial Radio,1,-,1,-,-,-,-,,-,1,1,,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Advertising,1,-,1,1,1,-,1,-,-,-,-,1,-,1,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Broadsheets” such as The Times or Guardian ( online ),1,1,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from Local health service website/ email/ text/ post,1,1,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),1,-,1,-,-,1,-,-,1,-,-,1,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Celebrity and/or social media influencer,1,-,1,1,1,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Email,1,1,-,-,-,1,-,-,-,-,-,1,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,1,-,1,-,-,-,-,1,-,-,1,-,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from UK Government website/ email/ text/ post,,-,,-,-,-,-,-,,-,-,,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,114,54,61,24,22,29,14,13,12,23,38,30,22,25,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),,-,,-,-,-,-,-,,-,,-,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Magazines,,,-,-,-,-,-,-,-,,-,,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Other,2,1,1,-,-,-,1,1,-,-,1,-,-,1,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Broadcasters,16,6,10,4,4,3,1,3,2,3,4,6,6,-,,,,,,,,,,,,,
