start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,196,101,94,57,51,33,29,21,26,30,65,58,35,37
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,1,1,0,0,0,0,0,2,0,1,1,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,196,101,94,57,51,33,29,21,26,30,65,58,35,37
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Twitter,26,16,10,9,8,6,3,4,3,1,13,3,6,4
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Family and friends directly,21,8,13,6,4,6,4,2,2,1,7,6,4,5
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Websites or apps that bring together news from different news providers,19,7,13,5,3,5,2,4,2,2,6,10,1,2
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Instagram,17,11,7,5,5,7,3,1,1,0,8,2,3,4
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,YouTube,12,6,6,3,3,2,1,3,2,1,5,3,1,4
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Search engine (e.g. Google),12,10,3,2,2,2,2,2,4,1,2,6,1,4
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,BBC - TV,12,10,2,0,0,1,1,2,2,7,4,4,2,2
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,WhatsApp,10,5,5,4,3,2,1,1,2,0,6,1,1,3
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",8,5,3,3,3,1,2,1,2,0,1,5,1,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,WhatsApp group(s),7,4,3,4,4,2,1,0,0,1,5,2,0,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,196,101,94,57,51,33,29,21,26,30,65,58,35,37
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),5,4,1,0,0,1,0,0,1,3,2,1,2,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,People in your local area/neighbourhood,5,3,1,1,1,1,2,1,1,0,2,1,1,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Unspecified social media,5,3,2,1,1,1,1,1,0,1,1,0,2,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from NHS website/ email/ text/ post,5,3,2,4,4,0,1,0,0,0,2,3,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Email,4,3,1,1,1,0,1,0,,2,1,3,,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Celebrity and/or social media influencer,4,1,3,2,2,1,0,1,1,0,0,2,1,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,ITV,4,4,0,0,0,0,0,1,1,2,0,0,2,2
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Mid-market tabloids” such as MailOnline or Express ( online ),3,3,0,0,0,0,0,0,1,2,0,1,2,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,BBC - Online/ app,3,2,2,0,0,1,1,1,1,0,1,1,1,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Snapchat,3,1,2,1,1,1,1,0,0,0,1,1,1,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Commercial Radio,3,3,0,1,1,1,1,0,0,0,2,1,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Closed groups,8,5,4,4,4,2,1,1,1,1,5,2,1,2
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Podcasts,2,0,2,2,2,1,0,0,0,0,0,2,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Unweighted base,196,99,97,42,37,34,36,29,27,28,67,59,35,35
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Advertising,2,1,2,2,2,1,0,0,0,0,0,2,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Other online news sources,26,11,14,6,4,6,5,4,3,2,8,12,2,3
