start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Official scientists,3,3,-,-,-,-,1,-,-,2,-,2,-,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,243,108,136,34,29,40,38,43,33,55,69,67,52,55,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,WhatsApp,2,2,-,2,1,-,-,-,-,-,-,1,1,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,-,-,-,-,-,-,2,-,-,2,-,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from NHS website/ email/ text/ post,2,-,2,-,-,-,-,2,-,-,1,1,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from Local council website/ email/ text/ post,2,1,1,-,-,-,-,1,-,1,1,1,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,-,2,-,-,2,-,-,-,-,-,-,-,2,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),2,-,2,-,-,2,-,-,-,-,-,-,-,2,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Broadsheets” such as The Times or Guardian ( online ),2,-,2,-,-,2,-,-,-,-,-,-,-,2,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,People in your local area/neighbourhood,2,-,2,-,-,-,-,2,-,-,-,1,1,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,WhatsApp group(s),2,2,-,2,2,-,-,-,-,-,-,2,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,2,1,1,1,1,-,-,-,-,1,-,-,2,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Advertising,1,1,1,-,-,-,1,-,1,-,-,1,1,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,243,108,136,34,29,40,38,43,33,55,69,67,52,55,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Podcasts,1,1,-,-,-,-,1,-,-,-,1,-,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Channel 5,1,1,-,-,-,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from Wales Government website/ email/ text/ post,1,-,1,-,-,-,-,1,-,-,1,-,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Celebrity and/or social media influencer,1,1,-,-,-,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Community radio,1,-,1,-,-,-,-,-,-,1,-,-,1,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from Local health service website/ email/ text/ post,1,1,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Other,29,8,21,3,3,2,2,8,2,10,9,8,5,6,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Broadcasters,39,28,11,3,3,3,5,7,4,17,6,14,6,13,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Non-BBC broadcasters,19,14,6,3,3,3,3,3,1,6,3,9,4,4,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: BBC services,29,21,8,-,-,-,2,7,4,16,5,9,4,12,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Newspapers (printed and online),19,7,12,-,-,5,3,3,1,7,8,6,2,3,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Officials,11,6,5,1,1,1,2,3,-,4,2,4,2,3,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Social Media,133,53,80,27,22,27,22,20,20,18,38,29,30,36,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,243,108,136,34,29,40,38,43,33,55,69,67,52,55,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Facebook (Facebook and Facebook Messenger),94,37,57,12,12,20,15,16,20,11,23,24,20,28,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),4,4,-,4,2,-,-,-,-,-,-,3,1,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Closed groups,3,2,1,2,2,-,1,-,-,-,1,2,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Other online news sources,25,11,14,1,1,4,3,5,7,4,5,8,8,3,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Family/friends/ local ppl,34,10,24,2,2,6,7,9,3,7,7,9,9,10,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Traditional media,57,33,24,3,3,9,8,9,6,23,15,19,7,15,,,,,,,,,,,,,
