start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),72,33,39,30,23,19,10,20,9,4,9,2,6,7,2,8,8,11,5,1,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Netbook,39,25,14,5,14,8,9,8,3,1,2,6,3,3,1,2,10,5,2,1,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Other device,19,14,5,-,5,3,3,8,1,-,1,1,1,4,-,1,5,4,1,1,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Don't know,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Unweighted base,2093,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Weighted base,2093,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2092,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Smartphone,1789,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Laptop,1438,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),1095,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,TV set,900,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Desktop PC,693,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",464,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Games console,430,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Weighted base,2093,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),244,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",169,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),72,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Netbook,39,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Other device,19,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",-,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Don't know,1,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Unweighted base,2093,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Weighted base,2093,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2092,-,1,-,-,-,1,-,,,,,,,,,,,,,
