table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Mean,,,,,,1.17,1.1,1.24,0.99,1,1.08,1.14,1.13,1.25,1.34,1.12,1.21,1.23,1.12,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,,,,,,0.91,0.93,0.88,0.98,0.99,0.94,0.89,0.91,0.91,0.81,0.93,0.9,0.86,0.92,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,,,,,,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,,,,,,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Agree,,,,,,266,132,134,62,60,78,42,29,19,35,80,65,54,67,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly agree      (+2),,,,,,43,26,17,17,16,11,5,4,-,6,18,7,9,9,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly agree      (+1),,,,,,222,106,117,45,44,66,37,26,19,29,61,58,45,58,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Neither agree nor    (0) disagree,,,,,,339,172,167,52,46,55,53,65,35,79,71,96,72,100,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly disagree   (-1),,,,,,609,295,313,94,80,92,100,104,96,122,170,178,119,141,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly disagree   (-2),,,,,,914,440,473,86,73,130,135,168,155,240,258,261,187,209,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Disagree,,,,,,1522,736,787,180,152,222,235,272,252,362,428,439,306,350,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Mean,,,,,,,-0.98,-1.02,,,,,,-1.27,-1.18,-1.02,-1.05,-0.99,-0.93,,,,,,
Table 90,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,,,,,,1.09,1.11,1.08,1.21,1.24,1.22,1.07,1,0.9,1,1.13,1.04,1.1,1.1,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,2136,2136,2136,2136,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,2136,2136,2136,2136,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Agree,766,633,436,1763,346,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly agree      (+2),180,160,130,816,67,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly agree      (+1),586,473,306,947,279,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Neither agree nor    (0) disagree,505,491,516,265,382,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly disagree   (-1),558,532,501,71,671,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly disagree   (-2),307,480,684,36,736,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Disagree,865,1012,1184,107,1408,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Mean,-0.11,-0.33,-0.61,1.14,-0.81,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,1.2,1.25,1.24,0.88,1.14,,,,,,,,,,,,,,,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,,,,,,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,,,,,,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Agree,,,,,,766,340,427,112,104,128,132,128,91,175,186,205,176,199,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly agree      (+2),,,,,,180,87,93,21,21,33,29,36,28,34,32,43,42,63,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly agree      (+1),,,,,,586,253,334,90,83,96,104,93,63,141,154,163,134,136,,,,,,
