table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Neither agree nor    (0) disagree,,,,,,257,145,112,44,43,54,58,35,35,32,61,70,48,77,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly disagree   (-1),,,,,,59,33,26,11,8,15,9,13,7,4,16,17,10,17,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly disagree   (-2),,,,,,22,12,10,6,6,3,2,3,6,2,8,6,3,5,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Disagree,,,,,,81,45,36,16,14,18,11,16,13,6,24,23,12,22,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Mean,,,,,,1.18,1.1,1.25,1.03,1,1.04,1.09,1.16,1.18,1.44,1.18,1.17,1.22,1.13,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,,,,,,0.83,0.84,0.81,0.89,0.89,0.85,0.83,0.8,0.86,0.7,0.83,0.82,0.78,0.86,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,,,,,,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,,,,,,2106,1030,1076,291,256,351,326,362,303,472,573,594,427,512,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Agree,,,,,,285,140,145,43,34,72,42,54,29,45,66,84,56,79,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly agree      (+2),,,,,,40,24,16,6,4,9,7,8,3,8,5,12,12,11,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly agree      (+1),,,,,,245,116,129,37,29,63,35,45,27,37,61,72,44,68,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Neither agree nor    (0) disagree,,,,,,337,180,157,56,51,64,68,55,37,57,82,77,79,100,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly disagree   (-1),,,,,,678,321,357,89,82,116,99,120,106,147,195,202,126,155,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly disagree   (-2),,,,,,806,388,417,103,89,99,116,134,131,223,230,231,167,178,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Disagree,,,,,,1484,709,775,192,171,215,216,254,237,370,425,433,293,333,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Mean,,,,,,,-0.91,-0.96,,,,,,-1.11,-1.14,-1.02,-0.95,-0.91,,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,,,,,,1.08,1.1,1.07,1.1,1.07,1.14,1.09,1.1,0.98,1.02,1.02,1.09,1.11,1.11,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,2150,2150,2150,2150,2150,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,2150,2150,2150,2150,2150,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Agree,809,713,421,1778,321,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly agree      (+2),176,184,129,768,64,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly agree      (+1),633,529,292,1010,257,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Neither agree nor    (0) disagree,471,527,596,276,383,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly disagree   (-1),590,504,504,71,650,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly disagree   (-2),279,406,629,26,797,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Disagree,869,910,1133,97,1446,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,-0.08,-0.19,-0.56,1.13,-0.86,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,1.19,1.24,1.21,0.84,1.13,,,,,,,,,,,,,,,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,,,,,,2150,1042,1108,267,235,319,335,394,327,508,681,626,336,507,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,,,,,,2150,1051,1099,297,260,359,333,370,310,481,585,606,436,522,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Agree,,,,,,809,356,453,124,116,162,144,119,103,157,202,230,166,211,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly agree      (+2),,,,,,176,79,97,25,24,36,28,29,23,35,42,46,44,45,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly agree      (+1),,,,,,633,277,356,99,91,126,116,90,80,122,161,184,122,166,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Neither agree nor    (0) disagree,,,,,,471,238,233,47,42,69,60,89,83,123,117,130,90,135,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly disagree   (-1),,,,,,590,299,291,85,69,85,91,102,88,140,174,182,110,124,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly disagree   (-2),,,,,,279,158,121,41,34,43,38,60,36,61,92,65,70,52,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Disagree,,,,,,869,457,412,125,102,128,129,162,124,201,266,247,180,176,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,,,,,,,-0.17,0.01,-0.06,0.02,0.08,0.01,-0.2,-0.11,-0.15,-0.2,-0.06,-0.09,0.05,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,,,,,,1.19,1.19,1.18,1.23,1.23,1.21,1.19,1.2,1.14,1.15,1.2,1.15,1.26,1.14,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,,,,,,2150,1042,1108,267,235,319,335,394,327,508,681,626,336,507,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,,,,,,2150,1051,1099,297,260,359,333,370,310,481,585,606,436,522,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Agree,,,,,,713,306,408,142,122,151,120,110,73,117,201,206,151,154,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly agree      (+2),,,,,,184,86,98,42,37,37,25,33,20,28,42,48,47,47,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly agree      (+1),,,,,,529,219,310,101,85,114,95,77,54,89,159,158,104,107,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Neither agree nor    (0) disagree,,,,,,527,277,250,71,63,98,77,87,83,110,141,152,95,139,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly disagree   (-1),,,,,,504,247,257,54,48,69,78,85,84,134,134,152,89,129,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly disagree   (-2),,,,,,406,222,184,30,27,41,58,88,70,121,109,97,101,100,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Disagree,,,,,,910,469,441,84,75,110,136,173,153,254,243,248,190,229,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,,,,,,,-0.28,,0.24,0.22,0.1,,-0.32,-0.42,-0.48,-0.18,-0.15,-0.21,-0.24,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,,,,,,1.24,1.24,1.24,1.2,1.2,1.17,1.22,1.29,1.19,1.21,1.23,1.2,1.33,1.23,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,,,,,,2150,1042,1108,267,235,319,335,394,327,508,681,626,336,507,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,,,,,,2150,1051,1099,297,260,359,333,370,310,481,585,606,436,522,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Agree,,,,,,421,254,167,69,63,88,84,62,52,66,110,114,99,97,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly agree      (+2),,,,,,129,86,43,17,15,25,30,21,18,19,32,32,30,36,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly agree      (+1),,,,,,292,168,124,52,48,64,54,41,34,47,79,82,70,61,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Neither agree nor    (0) disagree,,,,,,596,284,311,91,80,106,88,90,86,135,160,165,117,154,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly disagree   (-1),,,,,,504,236,268,77,66,91,73,97,65,100,141,154,95,114,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly disagree   (-2),,,,,,629,277,352,60,51,74,89,121,106,180,174,173,125,157,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Disagree,,,,,,1133,513,620,137,117,165,161,218,172,280,315,327,221,271,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,,,,,,,,-0.69,,,,,-0.69,-0.67,-0.78,-0.59,-0.58,-0.5,-0.56,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,,,,,,1.21,1.26,1.15,1.16,1.15,1.19,1.28,1.2,1.22,1.16,1.2,1.19,1.25,1.22,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,,,,,,2150,1042,1108,267,235,319,335,394,327,508,681,626,336,507,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,,,,,,2150,1051,1099,297,260,359,333,370,310,481,585,606,436,522,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Agree,,,,,,1778,838,940,236,207,276,272,297,264,432,499,508,342,429,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly agree      (+2),,,,,,768,323,445,79,71,98,103,127,130,229,201,205,158,204,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly agree      (+1),,,,,,1010,515,495,157,136,178,168,170,134,203,299,303,184,225,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Neither agree nor    (0) disagree,,,,,,276,163,112,48,42,61,42,50,35,40,57,77,70,72,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly disagree   (-1),,,,,,71,38,33,11,9,17,13,15,6,7,23,14,17,17,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly disagree   (-2),,,,,,26,12,14,1,1,4,7,8,4,2,5,8,9,5,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Disagree,,,,,,97,50,47,13,11,21,20,23,10,9,28,22,25,22,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,,,,,,1.13,1.04,1.21,1.01,1.02,0.97,1.05,1.06,1.23,1.35,1.14,1.13,1.07,1.16,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,,,,,,0.84,0.84,0.83,0.79,0.79,0.86,0.88,0.91,0.83,0.73,0.81,0.81,0.92,0.85,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,,,,,,2150,1042,1108,267,235,319,335,394,327,508,681,626,336,507,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,,,,,,2150,1051,1099,297,260,359,333,370,310,481,585,606,436,522,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Agree,,,,,,321,142,179,59,52,69,50,52,26,65,81,88,73,78,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly agree      (+2),,,,,,64,29,35,11,11,19,10,9,4,11,13,24,14,14,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly agree      (+1),,,,,,257,112,144,47,41,49,40,43,23,54,68,64,59,65,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Neither agree nor    (0) disagree,,,,,,383,205,178,56,51,71,62,57,55,82,96,100,83,104,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Slightly disagree   (-1),,,,,,650,309,341,77,68,110,116,108,105,134,179,208,119,143,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Strongly disagree   (-2),,,,,,797,396,400,106,89,109,105,153,123,201,228,210,161,197,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Disagree,,,,,,1446,705,741,182,157,219,221,262,228,335,408,418,281,340,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,,,,,,,-0.89,-0.84,,,,,-0.96,-1.04,-0.95,-0.93,-0.85,-0.81,-0.85,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,,,,,,1.13,1.11,1.15,1.21,1.21,1.2,1.11,1.12,0.99,1.12,1.1,1.13,1.17,1.13,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,2232,2232,2232,2232,2232,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,2232,2232,2232,2232,2232,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Agree,885,485,375,1927,383,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly agree      (+2),217,108,109,945,73,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly agree      (+1),668,377,265,982,311,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Neither agree nor    (0) disagree,413,426,480,221,376,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly disagree   (-1),639,647,484,49,644,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly disagree   (-2),296,673,894,36,828,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Disagree,934,1320,1377,85,1472,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Mean,-0.06,-0.63,-0.8,1.23,-0.83,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,1.23,1.21,1.22,0.84,1.17,,,,,,,,,,,,,,,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,,,,,,2232,1087,1145,,,,,,,,802,620,311,499,210,391,367,392,373,499
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,,,,,,2232,1089,1143,,,,,,,,609,627,453,542,248,386,357,395,330,516
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Agree,,,,,,885,383,502,,,,,,,,213,250,205,217,129,185,171,140,105,154
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly agree      (+2),,,,,,217,87,130,,,,,,,,48,67,35,67,40,54,27,31,25,40
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly agree      (+1),,,,,,668,296,372,,,,,,,,165,183,171,150,90,131,144,109,80,114
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Neither agree nor    (0) disagree,,,,,,413,195,218,,,,,,,,102,108,78,125,43,64,61,81,66,98
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly disagree   (-1),,,,,,639,338,301,,,,,,,,197,191,109,142,55,100,85,110,109,180
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly disagree   (-2),,,,,,296,173,122,,,,,,,,97,79,60,59,21,37,40,64,50,84
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Disagree,,,,,,934,511,423,,,,,,,,294,270,170,200,76,137,125,174,159,264
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Mean,,,,,,,-0.2,0.07,,,,,,,,-0.21,,0.02,0.04,0.29,0.17,0.09,-0.17,-0.24,-0.3
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,,,,,,1.23,1.22,1.21,,,,,,,,1.23,1.24,1.21,1.21,1.22,1.23,1.18,1.22,1.2,1.2
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,,,,,,2232,1087,1145,,,,,,,,802,620,311,499,210,391,367,392,373,499
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,,,,,,2232,1089,1143,,,,,,,,609,627,453,542,248,386,357,395,330,516
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Agree,,,,,,485,219,266,,,,,,,,133,145,82,125,81,116,82,81,45,81
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly agree      (+2),,,,,,108,55,54,,,,,,,,28,29,19,32,23,28,17,19,9,12
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly agree      (+1),,,,,,377,164,213,,,,,,,,105,115,63,93,58,88,65,62,35,69
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Neither agree nor    (0) disagree,,,,,,426,201,225,,,,,,,,110,121,86,110,54,77,73,63,62,98
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly disagree   (-1),,,,,,647,306,341,,,,,,,,158,192,148,150,71,105,93,129,104,146
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly disagree   (-2),,,,,,673,363,310,,,,,,,,209,169,138,158,43,88,109,122,120,191
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Disagree,,,,,,1320,669,651,,,,,,,,366,362,285,307,114,193,202,251,224,337
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Mean,,,,,,,-0.7,,,,,,,,,-0.68,-0.57,-0.71,-0.57,,,,,-0.88,-0.84
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,,,,,,1.21,1.22,1.2,,,,,,,,1.24,1.2,1.16,1.24,1.24,1.26,1.23,1.2,1.1,1.13
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,,,,,,2232,1087,1145,,,,,,,,802,620,311,499,210,391,367,392,373,499
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,,,,,,2232,1089,1143,,,,,,,,609,627,453,542,248,386,357,395,330,516
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Agree,,,,,,375,196,179,,,,,,,,89,113,76,97,78,83,60,41,47,66
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly agree      (+2),,,,,,109,53,57,,,,,,,,24,27,24,35,24,29,22,17,12,6
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly agree      (+1),,,,,,265,143,122,,,,,,,,65,86,52,62,54,54,38,24,35,60
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Neither agree nor    (0) disagree,,,,,,480,240,240,,,,,,,,118,128,85,149,55,92,88,91,62,92
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly disagree   (-1),,,,,,484,241,242,,,,,,,,144,145,102,92,50,90,83,88,73,99
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly disagree   (-2),,,,,,894,412,482,,,,,,,,258,241,191,204,65,120,126,175,149,259
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Disagree,,,,,,1377,653,724,,,,,,,,402,386,293,297,115,210,209,263,222,358
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Mean,,,,,,,-0.75,-0.85,,,,,,,,-0.9,-0.78,-0.85,,,,,-0.96,-0.94,-1.06
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,,,,,,1.22,1.22,1.22,,,,,,,,1.18,1.21,1.23,1.26,1.33,1.27,1.22,1.14,1.18,1.12
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,,,,,,2232,1087,1145,,,,,,,,802,620,311,499,210,391,367,392,373,499
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,,,,,,2232,1089,1143,,,,,,,,609,627,453,542,248,386,357,395,330,516
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,NET: Agree,,,,,,1927,925,1001,,,,,,,,532,548,390,457,208,320,303,343,283,471
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Strongly agree      (+2),,,,,,945,430,515,,,,,,,,260,254,199,232,91,135,136,155,145,283
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 27th to 29th March 2020,Slightly agree      (+1),,,,,,982,496,486,,,,,,,,271,293,191,226,117,185,167,187,138,188
