table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,No,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,28,19,16,26,18,12,81,147,181,108,532,111,610,639,654,672,-
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Misleading Recommendations, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Drink more water,201,87,115,42,37,30,31,26,29,44,66,47,39,49,15,5,27,17,24,15,7,10,32,28,17,3,23,70,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Gargle salt water,164,83,81,46,35,27,20,18,15,38,49,40,34,41,11,7,24,9,17,9,12,9,29,25,7,3,17,67,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Eat warm food/ drink,140,63,78,34,29,33,17,17,14,24,39,25,37,38,7,5,25,6,12,11,10,7,21,24,8,5,20,67,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Put clothes in sun,129,50,79,27,24,24,12,18,15,33,37,27,35,30,6,1,20,8,10,13,9,11,14,25,11,2,21,41,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Natural remedies,267,133,134,44,33,40,37,39,39,68,88,65,51,63,21,13,31,21,15,21,11,25,41,38,24,7,38,102,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Drink more lemon juice,117,75,42,22,17,22,19,12,15,27,34,27,31,26,5,5,13,11,10,8,8,7,21,19,8,2,18,49,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Inhale steam,101,53,49,22,19,25,10,9,16,19,28,27,24,23,6,3,12,7,7,2,7,5,19,21,10,3,15,44,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Theories linking Corona- virus to 5G tech- nology,686,348,338,123,105,113,103,98,104,145,224,176,141,146,62,26,75,52,67,47,25,64,102,95,55,17,110,264,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Attitude Statement Agreement, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,What's true/ false,780,351,429,104,91,150,113,133,98,182,167,218,192,203,63,43,97,63,69,57,33,63,98,104,72,18,114,327,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Avoid news,697,291,407,120,100,148,114,114,69,132,190,217,146,145,57,28,76,53,62,61,28,59,99,93,60,21,123,299,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Mainstream media exaggerating,443,252,191,59,53,95,64,69,56,100,118,112,105,109,25,21,52,48,38,39,18,36,47,67,43,8,62,202,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Positive sides of society,1670,788,881,213,178,253,246,294,250,413,477,460,326,406,137,74,189,125,140,112,74,165,207,245,145,56,250,661,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Confusion,478,224,254,73,62,98,89,74,53,91,135,142,99,102,33,26,73,33,40,34,15,30,81,59,39,15,79,209,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Official Advice Agreement, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Wash hands 20 secs,1876,884,992,250,216,313,277,334,268,433,516,512,378,470,157,78,207,158,164,129,91,172,245,262,155,58,296,744,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 428,,ONLINE Fieldwork: 22nd to 24th May 2020,Outside for essentials,1974,961,1013,272,230,320,297,345,287,453,543,545,403,483,163,81,213,160,168,142,97,187,258,273,174,60,305,788,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
