table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,218,321,166,412,208,47*,163,52*,53*,154,173,368,6**,104*,38*,99*,203,103*,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,161,236,111,297,147,36,117,32,39,113,131,270,5,79,28,84,134,83,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,63,88,39,112,59,16,45,11,16,45,48,100,2,29,12,40,49,44,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,98,148,72,185,88,21,72,20,22,68,82,170,3,50,16,44,85,38,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,35,54,40,76,44,9,34,15,10,33,30,64,2,18,7,13,44,13,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,16,24,10,27,7,1,6,1,1,6,7,24,-,7,3,2,16,7,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,8,5,12,10,1,6,4,3,3,4,9,-,1,-,1,10,-,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,22,32,15,39,17,1,12,5,4,9,12,33,-,8,3,3,25,7,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,3.89,3.88,3.78,3.87,3.86,4.07,3.88,3.67,3.92,3.94,3.95,3.89,4.02,3.95,3.96,4.21,3.73,4.16,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1,0.97,0.97,0.98,1.02,0.86,0.98,1.08,1.04,0.92,0.93,0.96,0.84,0.9,0.92,0.8,1.06,0.9,,,,,,,,,,,,,,,,,,,,,
