table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases and deaths in the UK,I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow,"On balance, I am comfortable that my child/ children is/are back at school",I am happy to be vaccinated against the Coronavirus,I follow international/ world news about Coronavirus,"On balance, I am happy that my child/ children is/are still able to go to school",I am confident that I understand the different rules that apply in each tier,I am confident that I understand the different rules that apply in each protection level,I intend to form a 'Christmas bubble' between 23-27 December,"I am confident that I understand the rules around forming a 'Christmas bubble', including who can be part of the bubble and the extra travel dates for Northern Ireland",I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,2107,2107,2107,2107,2107,,,2107,,532,1751,184,2107,2107,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,2107,2107,2107,2107,2107,,,2107,,524,1768,176,2107,2107,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,660,628,472,1356,394,1212,,,1393,,332,1149,104,1029,1377,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),166,163,158,416,85,341,,,957,,184,388,35,576,623,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),494,464,314,940,310,871,,,436,,147,761,69,454,754,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,532,591,579,510,470,529,,,398,,126,321,31,461,399,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),588,490,465,164,605,276,,,142,,39,209,29,232,232,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),327,398,591,77,638,90,,,173,,27,90,12,385,98,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,915,888,1056,242,1243,366,,,316,,66,299,41,617,331,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Mean,-0.2,-0.23,-0.48,0.69,-0.67,0.52,,,0.88,,0.81,0.65,0.49,0.29,0.75,
Table 117,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.19,1.21,1.25,0.99,1.17,1.05,,,1.28,,1.15,1.1,1.18,1.44,1.13,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,2164,2164,2164,2164,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,2164,2164,2164,2164,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,NET: Agree,697,686,473,1717,446,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Strongly agree      (+2),145,168,141,585,78,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Slightly agree      (+1),552,518,332,1132,368,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Neither agree nor    (0) disagree,555,548,573,315,434,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Slightly disagree   (-1),603,533,539,84,659,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Strongly disagree   (-2),310,398,579,48,625,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,NET: Disagree,912,931,1118,132,1285,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Mean,-0.18,-0.22,-0.5,0.98,-0.64,,,,,,,,,,,
Table 106,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,1.16,1.22,1.22,0.88,1.17,,,,,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,2115,2115,2115,2115,2115,,,2115,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,2115,2115,2115,2115,2115,,,2115,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,NET: Agree,584,672,360,1374,354,1287,,,1564,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Strongly agree      (+2),154,193,121,389,92,457,,,1212,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Slightly agree      (+1),430,479,239,985,262,830,,,352,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Neither agree nor    (0) disagree,566,618,570,517,437,542,,,308,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Slightly disagree   (-1),511,437,420,137,552,191,,,102,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Strongly disagree   (-2),453,388,765,86,773,94,,,141,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,NET: Disagree,965,825,1185,224,1324,285,,,243,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Mean,-0.32,-0.16,-0.69,0.69,-0.78,0.65,,,1.13,,,,,,,
Table 121,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,1.22,1.23,1.23,0.98,1.19,1.05,,,1.22,,,,,,,
Table 122,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,2100,2100,2100,2100,,2100,,,2100,,,,,,,
