table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,NET: Closely,2044,988,1056,273,231,336,315,355,299,467,554,573,416,502,169,79,227,170,179,145,100,194,260,285,177,60,1716,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Very closely        (+2),1669,780,889,205,167,246,244,299,251,425,451,473,327,418,132,64,176,132,151,119,83,170,200,242,153,48,1406,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Fairly closely      (+1),376,209,167,68,64,90,72,56,48,43,102,101,89,84,37,15,51,39,29,26,17,24,60,42,24,12,310,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Not very closely    (-1),46,27,19,13,13,13,6,6,3,5,15,16,10,5,5,3,5,1,3,5,*,2,14,3,2,1,39,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Not at all closely  (-2),25,19,6,6,6,4,7,3,3,1,6,7,4,7,2,3,1,1,2,2,-,3,5,1,2,2,20,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,NET: Not closely,71,46,24,19,19,18,13,9,6,6,22,23,14,12,8,5,6,2,5,7,*,5,19,5,4,4,59,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Mean,1.71,1.65,1.77,1.55,1.49,1.58,1.65,1.76,1.78,1.87,1.7,1.7,1.69,1.75,1.65,1.6,1.69,1.73,1.75,1.68,1.82,1.79,1.56,1.8,1.79,1.6,1.71,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,0.69,0.78,0.59,0.88,0.93,0.79,0.77,0.62,0.59,0.46,0.71,0.72,0.68,0.64,0.76,0.9,0.64,0.56,0.66,0.76,0.41,0.63,0.88,0.52,0.59,0.9,0.69,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,2100,1015,1085,267,236,294,323,383,336,497,613,633,319,535,176,86,203,160,183,166,113,193,307,302,145,66,1745,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2100,1027,1073,290,248,351,325,361,302,471,571,592,426,510,175,84*,232,171,183,151,100*,198,277,287,179,63*,1762,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,NET: Closely,2016,982,1034,273,234,333,311,340,297,462,554,561,412,489,167,81,229,160,173,141,98,191,263,279,173,61,1690,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Very closely        (+2),1570,729,841,201,173,229,226,253,246,414,424,436,311,398,134,68,179,123,125,114,82,157,193,214,135,45,1309,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Fairly closely      (+1),446,253,193,72,62,104,84,87,51,48,129,125,101,91,33,13,50,37,49,27,16,34,70,65,37,15,381,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Not very closely    (-1),52,29,23,11,10,11,8,11,4,7,13,19,6,14,2,3,2,7,5,5,1,5,10,8,3,1,47,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Not at all closely  (-2),32,16,16,6,4,6,7,10,1,1,5,12,7,8,6,-,2,4,5,4,1,2,4,1,4,1,25,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,NET: Not closely,84,45,39,17,14,17,15,21,5,9,17,31,14,22,8,3,3,11,10,10,2,7,14,8,6,2,72,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Mean,1.65,1.61,1.7,1.55,1.57,1.54,1.58,1.56,1.78,1.84,1.67,1.61,1.65,1.68,1.64,1.74,1.74,1.57,1.54,1.6,1.78,1.72,1.58,1.69,1.66,1.64,1.65,,,
Table 146,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,0.75,0.77,0.72,0.86,0.83,0.81,0.8,0.87,0.54,0.51,0.67,0.82,0.73,0.75,0.84,0.65,0.56,0.88,0.86,0.89,0.56,0.68,0.79,0.64,0.75,0.73,0.75,,,
