table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Mean,1.56,1.52,1.61,1.99,2.05,1.47,1.58,1.73,1.54,1.21,1.53,1.51,1.75,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.87,0.81,0.94,0.79,0.77,0.91,0.82,0.89,0.82,0.84,0.79,0.92,0.86,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,173,76,97,22,21,23,34,29,22,43,38,41,37,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,172,76*,97*,22**,21**,27**,37**,26**,20**,41*,37*,41*,29*,65*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,NET: More,72,30,42,10,10,14,15,9,13,11,17,15,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A lot more          (+3),23,6,17,1,1,6,4,5,5,3,4,3,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A little more       (+2),49,25,25,9,9,8,11,5,8,8,13,12,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,About the same      (+1),84,39,45,7,6,10,21,15,7,24,17,23,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Don't use            (0),16,7,10,5,5,3,1,2,1,5,3,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.46,1.38,1.51,1.26,1.28,1.6,1.5,1.48,1.82,1.23,1.51,1.36,1.42,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
