table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,-,-,5,1,5,5,5,5,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,5,2,2,7,7,6,-,16,9,16,15,16,16,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,1,-,-,1,3,2,1,4,2,4,4,3,4,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,-,-,1,-,2,2,2,2,-,2,2,1,2,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,-,-,1,-,2,2,2,2,-,2,2,1,2,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3.37,4,3.86,4,3.46,4.06,3.47,3.51,2.42,3.94,3.96,3.92,3.92,4.02,3.92,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.95,-,0.38,0,1.08,0.5,0.75,0.81,0.62,0.78,0.52,0.78,0.8,0.71,0.78,-,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,32,13,19,2,2,2,3,12,7,6,7,6,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,32**,12**,20**,3**,3**,2**,5**,11**,7**,5**,7**,7**,8**,9**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,28,11,17,2,2,1,5,10,6,5,6,5,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,15,5,10,-,-,-,3,6,3,3,1,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,4,13,6,7,2,2,1,1,3,3,3,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,3,3,-,3,2,2,1,-,-,1,-,1,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,2,1,1,-,-,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,1,1,-,-,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,4.3,4.2,4.36,3.51,3.51,3.59,4.71,4.36,4.3,4.48,3.98,3.96,4.54,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.81,0.91,0.75,0.61,0.61,-,0.52,1.01,0.74,0.55,0.5,1.26,0.69,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,36,16,20,,,6,5,9,9,7,9,15,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,33*,15**,19**,,,5**,6**,8**,8**,6**,7**,14**,5**,7**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,NET: Trust,25,10,16,,,3,5,4,7,6,4,10,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,5 - Trust completely,11,3,9,,,1,4,1,3,3,*,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,4,14,7,7,,,3,1,3,4,3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,3,8,5,3,,,2,1,4,1,-,3,4,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,2,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,1 - Do not trust at all,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,NET: Do not trust,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,Mean,4.11,3.85,4.31,,,3.77,4.55,3.69,4.17,4.46,3.63,4.14,4.13,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.77,0.74,0.75,,,0.72,0.8,0.79,0.74,0.55,0.67,0.87,0.72,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,33,17,16,,,2,5,11,11,4,5,5,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,32**,18**,14**,,,2**,4**,12**,10**,4**,5**,4**,13**,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,NET: Trust,27,16,11,,,2,3,11,8,3,5,2,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,5 - Trust completely,7,5,2,,,1,1,3,2,-,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,4,19,11,8,,,1,2,7,6,3,4,1,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,3,5,1,3,,,-,1,1,2,1,-,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,2,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,1 - Do not trust at all,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,NET: Do not trust,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,Mean,4.09,4.22,3.92,,,4.52,3.95,4.23,4.03,3.73,4.19,4.04,4.1,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.62,0.58,0.65,,,-,0.8,0.57,0.65,0.52,0.44,0.98,0.55,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,32,11,21,1,,4,4,9,7,7,8,9,7,8,-,-,-,-,-,-,-,-,-,-,-,32,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,27**,8**,18**,1**,,3**,4**,9**,4**,5**,5**,9**,6**,7**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,27**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,22,7,15,1,,1,4,6,4,5,3,9,5,5,-,-,-,-,-,-,-,-,-,-,-,22,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,9,4,5,1,,-,1,1,2,4,2,4,2,2,-,-,-,-,-,-,-,-,-,-,-,9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,4,12,2,10,-,,1,4,5,2,1,2,5,2,3,-,-,-,-,-,-,-,-,-,-,-,12,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,3,4,2,2,-,,1,-,2,-,1,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,2,1,-,1,-,,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,1,-,1,-,,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,Mean,4.12,4.36,4.01,5,,2.98,4.16,3.88,4.52,4.63,3.92,4.42,4.27,3.75,-,-,-,-,-,-,-,-,-,-,-,4.12,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.83,0.82,0.83,-,,1.06,0.42,0.71,0.57,0.77,0.92,0.52,0.81,1.08,-,-,-,-,-,-,-,-,-,-,-,0.83,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,34,13,21,2,1,4,3,7,9,9,15,8,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,27*,12**,15**,2**,1**,4**,2**,5**,8**,7**,11**,5**,3**,7**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,21,10,11,1,-,2,1,3,8,6,9,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,5 - Trust completely,6,2,4,1,-,1,-,2,*,1,3,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,4,15,8,7,-,-,1,1,1,7,4,6,3,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,3,5,1,4,1,1,1,1,1,-,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,2,1,-,1,-,-,-,-,1,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,NET: Do not trust,1,-,1,-,-,-,-,1,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,Mean,4,4.07,3.96,3.97,3,4.03,3.61,4.04,4.05,4.01,4.04,3.91,4.42,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.73,0.57,0.84,-,-,1.01,-,1.19,0.23,0.67,0.81,0.76,1.08,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,42,19,23,1,1,2,9,10,7,13,16,9,8,9,-,-,-,-,-,-,-,-,-,-,-,42,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,34*,17**,18**,1**,1**,2**,9**,8**,5**,10**,11**,8**,9**,6**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,34*,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,26,13,13,1,1,1,7,6,4,6,8,6,8,4,-,-,-,-,-,-,-,-,-,-,-,26,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,11,5,6,-,-,-,5,5,1,-,3,3,3,2,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,4,15,8,8,1,1,1,2,2,3,6,4,3,5,3,-,-,-,-,-,-,-,-,-,-,-,15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,3,8,4,4,-,-,*,1,2,1,3,4,2,-,2,-,-,-,-,-,-,-,-,-,-,-,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,2,1,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,1,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,Mean,4.06,4.07,4.04,4,4,3.74,4.27,4.4,4.01,3.66,3.96,4.11,4.23,3.92,-,-,-,-,-,-,-,-,-,-,-,4.06,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.78,0.76,0.83,-,-,-,1,0.85,0.7,0.5,0.82,0.81,0.79,0.81,-,-,-,-,-,-,-,-,-,-,-,0.78,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,23,12,11,,,1,2,7,6,7,13,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,22**,11**,11**,,,2**,2**,5**,6**,6**,11**,2**,5**,5**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Trust,13,7,6,,,-,1,3,6,4,6,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 1st to 3rd May 2020,5 - Trust completely,5,3,2,,,-,1,1,3,1,2,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 1st to 3rd May 2020,4,8,4,4,,,-,-,2,3,3,4,1,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 1st to 3rd May 2020,3,7,2,5,,,2,1,2,1,1,4,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 1st to 3rd May 2020,2,1,1,-,,,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
