table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,5 - Trust completely,6,2,3,1,1,1,-,1,2,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,4,13,6,7,3,1,-,1,4,2,4,7,3,3,-,-,-,-,-,-,-,-,-,-,-,-,13,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,3,13,8,5,-,-,3,2,3,2,3,4,5,1,3,-,-,-,-,-,-,-,-,-,-,-,13,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,Mean,3.77,3.63,3.91,4.23,4.38,3.48,3.33,3.68,3.98,3.78,3.95,3.59,3.87,3.36,-,-,-,-,-,-,-,-,-,-,-,3.77,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,0.74,0.74,0.75,0.49,0.65,0.97,0.6,0.7,0.89,0.73,0.72,0.77,0.74,0.94,-,-,-,-,-,-,-,-,-,-,-,0.74,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,28,10,18,1,1,2,5,4,11,5,11,5,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,29**,13**,17**,1**,1**,2**,5**,4**,12**,5**,11**,6**,1**,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 9th August 2020,NET: Trust,24,11,14,1,1,2,2,3,12,4,11,3,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 9th August 2020,5 - Trust completely,6,-,6,1,1,-,1,-,4,-,4,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 9th August 2020,4,18,11,8,-,-,2,1,3,8,4,7,3,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 7th to 9th August 2020,3,5,2,3,-,-,-,3,1,-,1,-,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
