table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,BBC - Online/ app,4,2,2,-,-,-,-,1,1,3,1,2,1,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Direct from UK Government website/ email/ text/ post,4,1,3,-,-,1,1,2,-,1,2,-,1,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Channel 4,4,3,1,1,1,1,1,-,-,1,1,1,1,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Snapchat,4,-,4,4,1,-,-,-,-,-,3,-,-,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),4,3,1,-,-,2,-,-,-,2,1,2,-,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Email,4,4,-,-,-,-,2,-,-,1,-,-,2,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Facebook messenger,3,2,1,2,2,-,1,-,-,-,1,2,-,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Official scientists,3,3,-,-,-,-,1,-,-,2,-,2,-,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,243,108*,136,34**,29**,40*,38*,43*,33**,55*,69*,67*,52*,55*,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,WhatsApp,2,2,-,2,1,-,-,-,-,-,-,1,1,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,-,-,-,-,-,-,2,-,-,2,-,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Direct from NHS website/ email/ text/ post,2,-,2,-,-,-,-,2,-,-,1,1,-,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Direct from Local council website/ email/ text/ post,2,1,1,-,-,-,-,1,-,1,1,1,-,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,-,2,-,-,2,-,-,-,-,-,-,-,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),2,-,2,-,-,2,-,-,-,-,-,-,-,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,“Broadsheets” such as The Times or Guardian ( online ),2,-,2,-,-,2,-,-,-,-,-,-,-,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,People in your local area/neighbourhood,2,-,2,-,-,-,-,2,-,-,-,1,1,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,WhatsApp group(s),2,2,-,2,2,-,-,-,-,-,-,2,-,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Direct from World Health Organisation (WHO) website/ email/ text/ post,2,1,1,1,1,-,-,-,-,1,-,-,2,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Advertising,1,1,1,-,-,-,1,-,1,-,-,1,1,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,243,108*,136,34**,29**,40*,38*,43*,33**,55*,69*,67*,52*,55*,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Podcasts,1,1,-,-,-,-,1,-,-,-,1,-,-,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Channel 5,1,1,-,-,-,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Direct from Wales Government website/ email/ text/ post,1,-,1,-,-,-,-,1,-,-,1,-,-,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Celebrity and/or social media influencer,1,1,-,-,-,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Community radio,1,-,1,-,-,-,-,-,-,1,-,-,1,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Direct from Local health service website/ email/ text/ post,1,1,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,,,,,,,
