table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Snapchat,6,3,3,1,-,3,2,-,-,-,3,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Magazines,6,5,1,1,1,4,-,1,-,-,2,3,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),6,2,3,-,-,3,2,-,-,-,5,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),5,4,1,-,-,1,2,1,1,-,3,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Community radio,5,4,1,1,1,1,1,-,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Direct from Wales Government website/ email/ text/ post,5,1,4,1,1,1,1,2,1,-,1,2,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Apple iMessage,4,3,2,1,1,2,2,-,-,-,4,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Celebrity and/or social media influencer,4,3,1,1,1,2,-,1,-,-,2,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Direct from Northern Ireland Government website/ email/ text/ post,4,3,1,-,-,1,1,1,2,-,2,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2077,1012,1065,288,247,341,316,359,301,472,573,588,420,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",4,3,1,1,1,2,1,-,-,-,2,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,UTV,4,-,4,1,1,-,-,1,1,-,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,ITV Wales,3,1,2,1,-,-,2,-,-,-,1,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Cool FM,1,-,1,-,-,-,-,1,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,S4C,1,1,-,1,1,-,-,-,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,RTÉ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,BBC Alba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Other,9,3,6,5,3,-,1,3,-,-,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: Broadcasters,365,179,186,62,52,57,62,56,51,77,119,104,66,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: Non-BBC broadcasters,128,66,62,16,12,21,31,19,21,21,35,38,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: BBC services,300,149,151,52,45,43,48,48,40,68,106,85,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: Newspapers (printed and online),70,44,26,8,8,13,12,10,6,20,31,24,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: Officials,205,91,113,46,38,30,38,36,26,29,66,62,40,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2077,1012,1065,288,247,341,316,359,301,472,573,588,420,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: Social Media,101,55,47,34,29,28,23,9,6,1,26,32,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: Facebook (Facebook and Facebook Messenger),58,36,23,15,13,14,19,6,4,-,12,20,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: WhatsApp (WhatsApp and WhatsApp groups),26,17,9,8,8,10,4,2,2,-,13,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q6. Altered behaviour over last week,ONLINE Fieldwork: 5th to 7th June 2020,NET: Closed groups,20,11,9,6,6,7,4,1,2,-,10,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
