table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 12th to 15th June 2020,NET: Important,1368,643,726,186,162,234,199,224,197,329,385,376,267,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 12th to 15th June 2020,1st most important,781,362,419,101,88,118,116,127,117,202,223,213,141,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 12th to 15th June 2020,2nd most important,309,138,171,43,37,63,46,48,38,71,92,84,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 12th to 15th June 2020,3rd most important,279,143,136,42,37,52,38,49,42,56,70,79,55,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 12th to 15th June 2020,No answer,747,391,355,106,89,120,128,140,108,146,190,221,162,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 19th to 21st June 2020,NET: Important,1344,664,679,171,149,219,213,211,206,323,366,381,265,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 19th to 21st June 2020,1st most important,726,352,374,106,90,100,119,105,114,183,188,221,141,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 19th to 21st June 2020,2nd most important,344,180,165,37,32,71,46,61,45,85,91,85,73,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 19th to 21st June 2020,3rd most important,273,132,140,29,27,48,49,45,47,56,86,75,51,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 19th to 21st June 2020,No answer,820,394,427,127,114,142,122,162,106,162,223,230,175,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
