table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Family/friends/ local ppl,29,10,19,3,3,8,12,3,-,2,9,9,7,4,1,1,5,1,1,3,2,3,5,6,-,1,25,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Traditional media,29,17,12,4,3,6,3,1,4,10,9,9,6,4,3,-,3,1,7,-,4,2,4,3,3,-,22,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,247,100,147,33,31,48,43,48,26,49,86,62,42,57,26,6,21,21,24,19,9,22,40,30,23,6,206,7,114,81
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,247,96*,151,35**,33**,45*,42*,50*,24**,50*,86*,56*,49*,55*,24**,4**,21**,22**,23**,19**,10**,24**,38*,29**,26**,7**,206,9**,113*,81*
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Facebook,91,35,56,9,8,31,18,19,6,8,32,24,19,17,9,3,8,5,7,12,7,10,10,10,9,3,73,3,34,34
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Family and friends directly,39,12,27,8,8,5,8,7,3,8,13,5,8,13,3,1,1,5,3,2,5,6,6,5,1,-,30,-,18,12
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Twitter,35,21,14,7,7,4,6,10,5,3,15,6,7,7,3,1,-,1,4,2,2,5,9,4,5,1,29,2,22,5
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Unspecified social media,21,4,17,4,4,2,3,3,3,6,6,3,5,6,2,-,3,2,3,1,-,*,2,5,2,1,18,-,12,6
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Search engine (e.g. Google),20,13,7,2,2,5,2,7,2,3,6,5,2,7,*,-,3,2,1,1,1,3,6,2,2,-,19,-,12,7
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Websites or apps that bring together news from different news providers,15,5,10,-,-,1,3,2,3,5,8,3,1,2,-,-,1,2,1,-,1,1,2,3,3,1,12,-,11,1
