table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,I have not shared any information/news about Coronavirus,499,275,225,69,62,84,75,95,66,110,122,137,119,121,41,22,48,49,35,37,12,64,77,70,35,9,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2122,1097,1025,298,267,336,346,368,309,465,626,638,306,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2125,1038,1087,293,266,356,327,366,306,478,578,601,433,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,"Talked to family, friends and colleagues in person or by phone",1568,727,840,195,176,245,232,291,232,372,433,446,312,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,"Writing on closed messenger groups, such as WhatsApp, Teams, Zoom etc",464,226,238,97,91,106,90,55,54,63,161,124,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,"Talking by video via closed messenger groups, such as WhatsApp, Teams, Zoom etc",382,180,201,70,63,86,70,49,50,57,130,108,67,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,Via social media posts,351,177,175,46,44,54,67,67,50,67,110,85,74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,Other,22,10,11,-,-,-,1,1,10,10,8,4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 17th to 19th April 2020,I have not shared any information/news about Coronavirus,377,205,172,70,63,58,63,55,52,78,106,109,72,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2092,1030,1062,256,226,354,346,368,305,463,605,570,402,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
