table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 12th to 15th June 2020,NET: Important,1022,480,542,146,122,150,153,174,155,244,278,298,213,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 12th to 15th June 2020,1st most important,250,123,128,51,41,35,38,42,30,54,79,68,56,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 12th to 15th June 2020,2nd most important,377,174,203,48,44,54,56,60,68,91,95,104,78,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 12th to 15th June 2020,3rd most important,395,183,212,47,37,61,59,71,58,99,104,126,79,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 12th to 15th June 2020,No answer,1093,554,539,145,128,203,175,190,150,230,297,298,216,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 126,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 126,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 126,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 19th to 21st June 2020,NET: Important,1030,537,493,119,97,167,170,187,148,239,294,284,204,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 126,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 19th to 21st June 2020,1st most important,231,127,103,33,30,46,33,39,27,53,73,62,48,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 126,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 19th to 21st June 2020,2nd most important,356,188,167,40,30,47,57,58,65,89,110,92,59,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 126,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 19th to 21st June 2020,3rd most important,444,222,222,46,37,74,80,91,56,97,111,129,97,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 126,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 19th to 21st June 2020,No answer,1134,521,613,179,166,194,165,185,164,246,295,327,235,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
