start_date,end_date,question,response,i_think_that_untrue_stories_or_items_about_coronavirus_should_not_be_posted_or_shared_on_social_media,"i_think_that_people_and_organisations_have_a_right_to_say_what_they_want_on_social_media__about_coronavirus,_even_if_it_might_not_be_true","i_think_it's_ok_for_untrue_stories_about_coronavirus_to_be_posted_and_shared_on_social_media_,_as_long_as_they_are_flagged_as_potentially_untrustworthy/_untrue_by_the_social_media_platform"
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,291.0,424.0,374.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.07,1.25,1.26
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),87.0,818.0,977.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),77.0,501.0,398.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,210.0,380.0,339.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),374.0,280.0,290.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1352.0,121.0,95.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1726.0,401.0,385.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2100.0,2100.0,2100.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2100.0,2100.0,2100.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,164.0,1320.0,1376.0
2021-02-12,2021-02-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.35,-0.77,-0.89
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),88.0,830.0,993.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),83.0,513.0,445.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,228.0,373.0,278.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),411.0,315.0,301.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1334.0,113.0,127.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1745.0,428.0,428.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2144.0,2144.0,2144.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2144.0,2144.0,2144.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,171.0,1343.0,1438.0
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.32,-0.76,-0.87
2021-03-12,2021-03-14,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.07,1.25,1.29
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.24,-0.68,-0.8
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2121.0,2121.0,2121.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2121.0,2121.0,2121.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1671.0,449.0,455.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1255.0,141.0,118.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),416.0,308.0,337.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,253.0,393.0,335.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),96.0,527.0,399.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),100.0,752.0,933.0
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.12,1.27,1.3
2021-04-05,2021-04-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,196.0,1279.0,1331.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1722.0,437.0,422.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.06,1.27,1.28
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.3,-0.68,-0.85
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,150.0,1259.0,1384.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),87.0,773.0,969.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),63.0,486.0,415.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,263.0,439.0,328.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),438.0,300.0,308.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1284.0,137.0,114.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2135.0,2135.0,2135.0
2021-06-04,2021-06-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2135.0,2135.0,2135.0
