table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Not at all closely  (-2),46,24,22,4,4,7,4,14,7,10,13,11,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,NET: Not closely,111,67,44,15,15,25,15,25,12,17,25,26,32,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Mean,1.59,1.52,1.66,1.59,1.54,1.49,1.6,1.49,1.65,1.71,1.62,1.66,1.5,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.83,0.88,0.77,0.81,0.85,0.9,0.77,0.95,0.78,0.74,0.79,0.77,0.9,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,277,132,145,34,29,37,51,51,37,67,59,73,62,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,277,136,141,35**,28**,43*,53*,47*,36*,64*,61*,74*,54*,88*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,NET: Closely,260,127,134,31,24,39,52,42,35,61,58,68,53,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Very closely        (+2),193,88,105,24,18,31,32,33,26,47,42,55,33,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Fairly closely      (+1),67,39,28,7,6,8,20,9,8,14,16,12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Not very closely    (-1),15,8,7,4,4,3,-,5,1,3,1,7,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Not at all closely  (-2),2,1,1,-,-,-,1,-,1,-,2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,NET: Not closely,17,9,8,4,4,3,1,5,2,3,3,7,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.57,1.5,1.63,1.47,1.38,1.57,1.54,1.49,1.63,1.66,1.57,1.56,1.57,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.81,0.85,0.77,0.96,1.03,0.85,0.73,0.94,0.79,0.69,0.85,0.89,0.64,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,361,183,178,35,30,55,69,57,52,93,96,97,67,101,195,-,-,-,-,-,105,-,-,-,61,74,135,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,337,165,172,34*,28**,54*,61*,60*,49*,79*,83*,98*,64*,91*,175,-**,-**,-**,-**,-**,99*,-**,-**,-**,63*,67*,117,22**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,320,155,164,32,26,52,57,56,47,77,78,93,60,89,163,-,-,-,-,-,97,-,-,-,60,66,107,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),253,108,145,23,19,37,46,45,37,65,56,74,50,73,127,-,-,-,-,-,75,-,-,-,50,51,79,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),67,47,20,9,7,15,11,11,10,12,22,19,10,16,35,-,-,-,-,-,21,-,-,-,10,15,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),13,6,7,2,2,1,3,4,2,2,2,5,4,2,10,-,-,-,-,-,2,-,-,-,1,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),4,4,-,-,-,1,1,1,-,1,3,1,-,-,2,-,-,-,-,-,1,-,-,-,1,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,17,10,7,2,2,2,4,5,2,2,5,6,4,2,12,-,-,-,-,-,3,-,-,-,3,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.64,1.52,1.76,1.57,1.55,1.58,1.61,1.57,1.68,1.76,1.52,1.63,1.65,1.75,1.58,-,-,-,-,-,1.7,-,-,-,1.7,1.7,1.47,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 316,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,0.86,0.66,0.76,0.81,0.8,0.84,0.92,0.67,0.65,0.91,0.79,0.78,0.59,0.85,-,-,-,-,-,0.65,-,-,-,0.75,0.6,0.97,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,210,262,108,137,150,32,125,19,28,104,107,321,7,105,39,6,135,115,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,198,241,98*,124,143,30**,119,18**,25**,94*,97*,300,6**,99*,33*,7**,122,111,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,188,230,93,118,140,27,117,18,25,92,92,285,6,98,29,7,119,108,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),253,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,148,185,75,97,117,19,98,14,22,70,74,227,6,77,23,4,91,88,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),67,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,40,45,18,21,23,8,19,4,3,22,18,58,-,21,6,2,28,19,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),13,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,8,3,4,2,2,1,-,-,1,2,11,-,1,4,-,3,3,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,2,1,1,1,-,-,1,3,4,-,1,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,11,5,6,3,3,3,-,-,2,5,15,-,2,4,-,4,3,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.63,1.66,1.64,1.67,1.76,1.36,1.77,1.77,1.87,1.7,1.62,1.65,2,1.73,1.44,1.63,1.67,1.73,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.8,0.76,0.82,0.79,0.62,1.08,0.61,0.44,0.34,0.63,0.87,0.77,0,0.58,1.03,0.52,0.69,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,24,19,44,18,19,117,124,111,58,288,67,329,341,350,361,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25**,27**,22**,16**,40*,16**,16**,104,114,106*,51*,267,63*,306,320,327,337,-**,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,27,21,16,36,15,15,101,106,100,45,255,57,297,320,316,320,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,13,14,27,11,10,76,81,76,29,210,43,237,253,253,253,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,9,3,9,3,5,25,25,24,16,45,13,60,67,64,67,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,2,1,1,3,8,4,5,9,6,6,-,7,13,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,2,-,-,-,1,1,1,4,-,2,-,4,4,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,4,1,1,3,8,6,6,12,6,8,-,11,17,-,,,,,,
