table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,22**,11**,11**,4**,4**,5**,2**,1**,3**,7**,13**,8**,-**,1**,-**,-**,-**,-**,-**,-**,22**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,-**
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,NET: Trust,20,10,10,4,4,5,2,1,2,6,11,8,-,1,-,-,-,-,-,-,20,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,5 - Trust completely,8,5,2,2,2,2,*,1,1,1,2,6,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,4,13,5,7,2,2,3,2,-,1,5,9,2,-,1,-,-,-,-,-,-,13,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,3,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,2,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,NET: Do not trust,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Mean,4.24,4.33,4.16,4.41,4.41,4.44,4.22,5,4.12,3.97,3.97,4.72,-,4,-,-,-,-,-,-,4.24,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,0.7,0.84,0.56,0.56,0.56,0.56,0.55,-,1.07,0.86,0.71,0.48,-,-,-,-,-,-,-,-,0.7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
