table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,4,66,38,29,10,8,2,7,9,17,22,18,18,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,3,100,52,48,11,8,18,15,10,13,34,44,27,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,2,33,16,16,4,4,11,1,4,3,10,11,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,13,7,6,*,*,4,2,1,2,4,-,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,45,23,23,4,4,15,3,5,5,14,11,14,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.15,3.17,3.13,3.37,3.38,2.58,3.33,3.34,3.31,3.14,3.17,3.13,3.27,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.94,0.92,0.96,0.88,0.94,0.86,0.98,1.02,0.83,0.92,0.71,1.05,1.02,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,227,135,92,20,19,32,40,30,42,63,86,56,34,51,18,13,27,17,19,14,6,22,41,26,20,4,,54,89,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,230,133,98*,23**,23**,32**,39*,35**,42*,58*,83*,62*,34*,51*,15**,19**,26**,22**,22**,13**,6**,17**,38*,29**,20**,4**,,56*,82*,48*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,94,56,38,8,8,13,19,23,10,22,30,28,16,20,4,11,11,10,10,3,3,8,11,14,8,1,,25,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,24,9,15,2,2,1,7,7,1,6,5,6,3,9,1,2,2,5,7,3,-,2,1,1,-,-,,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,4,70,46,23,7,7,12,12,15,9,15,24,22,12,11,3,9,9,5,3,-,3,7,9,13,8,1,,20,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,3,108,63,45,12,11,14,15,9,29,29,40,28,12,29,8,6,14,9,9,9,3,7,23,11,9,1,,23,42,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,2,25,12,13,4,4,5,5,2,3,7,12,5,6,2,3,2,1,2,3,2,-,2,4,2,3,2,,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,4,2,2,-,-,1,-,2,-,1,1,2,1,-,-,-,-,-,-,-,-,-,1,2,1,-,,-,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,28,14,15,4,4,6,5,3,3,7,13,7,7,2,3,2,1,2,3,2,-,2,5,4,4,2,,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.38,3.37,3.38,3.25,3.26,3.23,3.56,3.7,3.17,3.34,3.26,3.42,3.35,3.53,3.12,3.62,3.48,3.61,3.68,3.29,3.54,3.52,3.16,3.31,3.16,2.76,,3.41,3.29,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 220,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.87,0.8,0.96,0.81,0.83,0.88,0.94,1.03,0.57,0.87,0.83,0.89,0.97,0.84,0.85,0.81,0.72,0.97,1.1,0.96,0.55,0.84,0.75,0.9,0.82,1,,0.85,0.79,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 221,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,131,173,100,133,138,43,107,45,48,99,123,207,9,70,17,17,121,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 221,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,137,174,104*,134,139,43*,109*,41*,49*,98*,122,210,8**,74*,17**,16**,118,53*,,,,,,,,,,,,,,,,,,,,,,,,,,,
