table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,5,13,9,5,20,9,28,31,31,32,-,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,1.46,1.69,1.79,1.73,1.47,2.01,1.63,1.53,1.54,1.54,1.57,1.5,1.51,1.5,1.51,1.5,-,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.54,0.65,0.82,0.8,0.65,0.81,0.8,0.95,0.87,0.92,0.87,0.96,0.88,0.88,0.88,0.88,-,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,360,185,175,38,32,51,46,73,70,82,79,110,69,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,341,178,163,35*,30**,46*,53*,69*,63*,76*,85*,105,62*,90*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,NET: More,180,77,103,23,21,24,32,34,32,35,49,52,34,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A lot more          (+3),78,28,50,11,10,8,14,17,14,15,20,19,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A little more       (+2),102,49,53,12,11,16,18,18,19,19,29,33,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,About the same      (+1),123,81,42,8,6,19,19,25,26,27,28,45,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Don't use            (0),38,19,18,4,3,3,2,9,4,15,8,8,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
