table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,2121,1026,1095,265,233,315,327,388,321,505,677,622,328,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,2116,1034,1082,294,257,354,323,365,301,479,582,602,424,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 1st to 3rd May 2020,Yes,991,508,483,148,131,179,141,162,138,224,310,276,184,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 1st to 3rd May 2020,No,628,320,308,105,92,100,101,111,75,137,171,175,132,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 1st to 3rd May 2020,Don't know,498,206,291,42,35,76,82,92,88,118,101,150,108,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2085,1032,1053,270,236,346,324,335,323,487,602,583,373,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2085,1020,1065,284,245,352,321,355,298,474,571,590,418,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 12th to 15th June 2020,Yes,615,317,298,126,112,143,88,77,82,99,197,179,119,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 12th to 15th June 2020,No,857,439,418,111,94,117,129,153,134,212,240,239,176,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 12th to 15th June 2020,Don't know,613,264,348,48,38,92,105,124,82,163,135,172,124,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,2226,1083,1143,,,,,,,,802,620,310,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,390,365,392,371,499
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,2224,1085,1139,,,,,,,,609,627,452,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,384,354,395,329,516
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 27th to 29th March 2020,Yes,1016,481,535,,,,,,,,325,301,198,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,222,186,173,123,168
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 27th to 29th March 2020,No,621,336,285,,,,,,,,149,170,130,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,70,69,129,112,191
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 27th to 29th March 2020,Don't know,587,268,320,,,,,,,,135,156,124,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,91,99,93,94,157
Table 91,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2134,1099,1035,285,254,351,345,312,336,505,639,601,363,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2140,1049,1092,292,257,359,328,369,310,482,586,603,435,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 19th to 21st June 2020,Yes,536,281,255,106,96,102,80,76,76,95,169,163,118,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 19th to 21st June 2020,No,1000,501,499,123,105,177,151,185,152,211,275,271,193,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 19th to 21st June 2020,Don't know,605,267,338,63,57,80,96,109,82,175,143,169,125,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
