table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,246,352,145,167,209,59,159,57,59,148,157,422,5,144,60,21,229,111,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,48,61,22,35,41,11,30,11,10,29,34,78,1,23,11,4,54,18,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,198,291,122,132,168,48,129,46,49,119,123,344,4,121,49,17,175,93,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,187,300,85,120,157,31,124,28,31,101,110,362,5,133,40,19,136,121,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly disagree   (-1),593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,296,468,187,193,234,48,181,34,36,156,179,542,9,219,77,27,206,207,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly disagree   (-2),604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,286,443,203,244,214,44,153,37,37,161,175,528,14,186,66,33,237,233,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017,582,911,390,437,448,92,334,71,73,316,354,1070,23,405,143,60,443,440,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69,-0.66,,,,,,,,,-0.97,-0.62,-0.56,-0.69,,-0.81,,,,,,,,,,,,,,,,,,,,,
Table 310,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,
