table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,*,*,*,-,1,*,*,*,1,*,1,1,1,1,-
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Washing hands regularly and thoroughly,472,224,249,66,53,63,83,67,69,123,127,134,91,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Limiting your contact with other people (including family and friends),392,190,202,42,40,70,53,79,52,96,115,115,81,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,567,287,280,72,58,95,81,100,90,129,144,165,121,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Wearing a face mask/ covering,129,60,69,26,25,22,24,22,13,21,27,31,28,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Staying at home as much as possible,312,153,160,44,38,53,49,52,50,64,79,92,51,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Work from home (if possible),146,72,73,27,23,28,28,30,14,17,55,39,28,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 5th to 7th June 2020,Not touching your face when outside,108,54,53,16,14,23,10,15,17,27,32,24,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Washing hands regularly and thoroughly,417,199,218,65,51,71,63,57,55,106,120,120,78,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Limiting your contact with other people (including family and friends),395,183,212,47,37,61,59,71,58,99,104,126,79,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,568,260,307,63,55,68,92,111,95,138,146,152,121,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Wearing a face mask/ covering,181,93,88,31,29,36,22,32,20,40,53,39,37,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Staying at home as much as possible,279,143,136,42,37,52,38,49,42,56,70,79,55,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Work from home (if possible),155,89,67,26,24,39,30,26,24,10,48,48,34,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,Not touching your face when outside,120,67,53,18,17,26,23,17,11,24,33,32,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 12th to 15th June 2020,None of these,1,1,-,-,-,-,*,-,-,1,-,-,*,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
