table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,49,27,22,9,9,17,10,9,2,2,10,16,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,21,11,10,5,5,8,6,2,-,1,3,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,4,28,16,12,4,4,9,4,8,2,1,7,11,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,3,60,25,35,10,10,11,16,13,6,4,20,15,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,2,35,21,14,2,2,18,*,7,2,5,12,11,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,10,6,4,2,1,5,3,-,-,-,5,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,45,26,18,4,3,23,3,7,2,5,17,15,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,Mean,3.11,3.08,3.14,3.29,3.44,2.95,3.37,3.15,2.99,2.83,2.81,3.02,3.2,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,1.1,1.15,1.05,1.18,1.08,1.25,1.14,0.84,0.71,0.97,1.04,1.14,1,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,131,66,65,27,23,38,29,14,11,12,48,35,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,135,68*,67*,33**,27**,36*,29**,14**,12**,11**,50*,36**,26**,23**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,38,20,19,8,8,10,8,6,2,4,11,8,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,8,5,3,3,3,-,1,2,-,1,1,3,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 15th to 17th May 2020,4,31,15,16,5,5,10,8,4,2,3,9,5,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
