table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Limiting your contact with other people (including family and friends),275,143,132,34,29,39,41,52,45,65,73,75,56,71,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Maintaining social distancing,580,273,307,71,54,80,77,113,81,158,167,153,113,148,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Wearing a face mask/ covering,387,184,203,76,68,69,64,55,49,74,109,116,74,88,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Staying at home as much as possible,215,125,89,32,28,30,28,38,37,50,59,59,43,53,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Work from home (if possible),124,70,53,17,16,36,27,23,9,12,32,43,26,23,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Not touching your face when outside,92,43,49,16,16,24,18,9,10,14,22,26,18,26,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,None of these,1,-,1,-,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Washing hands regularly and thoroughly,453,216,237,46,37,86,71,82,67,101,124,113,110,106,49,23,42,28,37,32,21,48,71,50,38,12,370,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Limiting your contact with other people (including family and friends),305,156,150,28,25,45,46,50,63,74,80,73,69,84,22,11,40,32,37,22,16,20,33,34,25,12,256,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Maintaining social distancing,517,260,257,64,49,73,72,93,81,133,163,148,94,112,36,17,58,44,46,40,19,46,69,89,34,19,443,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Wearing a face mask/ covering,467,225,242,84,75,65,53,79,62,124,109,157,83,117,39,15,50,39,42,31,21,49,56,67,44,12,394,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Staying at home as much as possible,219,107,113,39,36,41,43,43,22,32,53,57,50,59,16,8,28,18,20,20,14,24,24,29,16,5,184,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Work from home (if possible),119,62,57,23,21,37,25,9,16,10,40,41,16,22,15,4,10,7,6,7,6,11,15,18,15,5,93,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,Not touching your face when outside,105,45,60,18,17,19,30,19,5,14,26,26,22,31,4,6,14,10,4,4,7,8,21,12,13,1,92,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 9th to 11th October 2020,None of these,4,-,4,1,1,-,-,1,-,2,1,3,-,1,-,2,-,-,1,1,-,-,-,-,1,-,4,,,
