table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,1297,618,679,188,170,217,198,231,188,275,389,409,200,299,104,52,134,97,107,101,64,109,207,179,104,39,1090,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,1303,640,663,206,185,235,197,227,172,267,391,381,244,288,100*,46*,144,99*,116*,96*,58*,113*,198,183,108*,43*,1102,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,NET: Top 2 box,267,137,130,55,51,70,52,42,25,22,72,70,57,68,17,10,27,11,34,24,4,21,60,27,16,15,230,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,5 - Has me think twice,95,50,44,16,16,30,18,13,6,12,26,22,18,29,2,4,9,4,9,8,3,8,29,7,3,9,81,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,4,172,87,85,39,35,41,34,29,19,11,46,48,39,39,15,6,18,8,25,16,2,13,31,20,13,6,149,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,3,263,135,129,43,41,53,55,53,34,26,87,65,54,57,19,12,27,21,20,21,7,26,51,32,21,6,232,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,2,167,89,78,29,25,37,24,28,19,30,49,47,36,36,12,7,27,10,15,16,15,7,19,23,15,3,137,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,1 - Has not made me think twice,606,279,327,79,68,75,65,104,94,189,183,199,97,127,52,17,63,56,47,36,32,59,68,100,57,19,502,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,NET: Bottom 2 box,773,368,405,108,93,112,89,132,113,219,232,246,133,163,64,24,90,66,61,51,47,66,87,123,71,22,640,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,Mean,2.22,2.28,2.16,2.44,2.49,2.63,2.57,2.2,1.97,1.6,2.19,2.07,2.37,2.33,2.03,2.41,2.18,1.92,2.44,2.43,1.77,2.15,2.67,1.96,2,2.58,2.25,,,
Table 100,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,1.34,1.35,1.33,1.37,1.38,1.41,1.35,1.3,1.23,1.09,1.31,1.31,1.34,1.41,1.24,1.33,1.29,1.2,1.4,1.36,1.09,1.36,1.46,1.23,1.22,1.64,1.35,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,1242,592,650,161,150,190,195,204,202,290,370,381,192,299,98,49,120,98,102,95,57,117,191,186,89,40,1047,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,1244,608,636,178,162,225,197,186,183,275,348,357,260,279,92*,46*,143*,106*,102*,89*,49*,125*,174,173,106*,39*,1063,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,NET: Top 2 box,285,142,144,55,51,85,58,41,26,21,88,75,58,64,17,7,40,23,17,17,11,26,63,32,23,10,248,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,5 - Has me think twice,94,36,59,15,15,35,17,16,4,8,30,26,15,23,7,1,9,8,3,9,3,10,21,13,7,3,82,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,4,191,106,85,40,36,50,42,25,22,13,58,50,43,40,11,6,31,14,14,8,8,16,42,20,16,7,166,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,3,257,114,144,52,46,61,41,37,31,35,71,71,55,61,15,5,35,20,25,22,8,22,39,40,18,7,227,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,2,166,80,86,26,21,31,28,33,19,30,34,52,37,44,12,7,18,10,13,11,8,12,21,25,20,8,138,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,1 - Has not made me think twice,535,272,262,45,44,48,69,76,107,189,156,159,111,109,47,27,51,54,47,38,22,64,51,75,44,14,451,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,NET: Bottom 2 box,701,353,348,71,65,79,97,108,126,219,190,211,147,153,60,34,68,63,60,49,30,77,73,100,65,22,589,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,Mean,2.31,2.26,2.36,2.74,2.73,2.96,2.53,2.31,1.89,1.62,2.34,2.25,2.29,2.37,2.09,1.88,2.51,2.18,2.15,2.31,2.23,2.16,2.77,2.24,2.25,2.39,2.33,,,
Table 101,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,1.36,1.34,1.37,1.29,1.32,1.36,1.38,1.35,1.19,1.06,1.41,1.34,1.32,1.35,1.34,1.22,1.34,1.39,1.23,1.37,1.35,1.39,1.41,1.32,1.32,1.33,1.36,,,
