table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Work from home (if possible),359,195,164,52,45,94,69,68,40,36,116,129,57,58,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Not touching your face when outside,249,123,126,48,43,53,46,38,28,35,61,67,61,60,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,None of these,1,-,1,-,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Washing hands regularly and thoroughly,1387,641,746,166,143,225,202,261,203,329,367,390,305,324,108,55,165,117,114,89,68,134,183,190,120,44,1167,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Limiting your contact with other people (including family and friends),910,460,450,107,99,128,151,167,149,208,255,262,175,218,99,35,95,76,86,71,42,82,98,115,71,39,729,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Maintaining social distancing,1472,718,754,185,151,228,218,257,224,360,413,413,293,353,110,58,169,115,130,107,67,145,201,206,123,42,1254,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Wearing a face mask/ covering,1316,643,673,210,176,218,184,207,176,321,350,387,256,323,105,52,147,100,113,89,60,129,171,199,117,35,1117,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Staying at home as much as possible,831,420,411,126,112,124,124,143,126,188,214,203,176,239,72,35,94,70,80,63,43,75,107,102,67,23,694,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Work from home (if possible),379,201,179,61,57,105,85,51,48,30,113,128,74,65,39,10,30,27,27,38,19,33,60,48,35,13,308,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,Not touching your face when outside,260,129,131,49,43,67,53,40,20,31,73,61,54,72,16,11,27,31,20,13,13,21,45,39,25,2,230,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 9th to 11th October 2020,None of these,4,-,4,1,1,-,-,1,-,2,1,3,-,1,-,2,-,-,1,1,-,-,-,-,1,-,4,,,
