table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,2,630,327,303,101,88,90,98,91,110,141,179,207,115,129,53,18,72,55,54,46,30,54,77,95,59,18,529,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,1 - Relying completely on media/official sources,516,274,242,35,32,61,53,111,85,171,166,149,90,111,38,16,57,43,42,44,27,61,60,64,50,15,436,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,NET: Bottom 2 box,1146,602,544,136,121,151,150,201,195,312,345,356,205,240,92,34,129,98,96,90,57,115,137,158,109,32,965,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,Mean,2.35,2.3,2.41,2.65,2.63,2.63,2.6,2.24,2.13,2.03,2.24,2.27,2.51,2.46,2.35,2.61,2.36,2.31,2.47,2.22,2.24,2.23,2.53,2.35,2.16,2.44,2.36,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.06,1.07,1.04,1.03,1.05,1.1,1.05,1.04,0.95,0.97,1.05,1,1.11,1.06,1.02,1.08,1.08,1.05,1.12,1.01,0.97,1.07,1.15,0.98,0.93,1.12,1.06,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2065,990,1075,240,211,343,320,342,329,491,612,588,356,509,188,78,196,164,182,160,118,187,297,253,183,59,1700,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2070,1019,1051,281,244,337,319,359,301,473,565,584,421,500,175,85*,224,169,181,149,100*,196,275,278,177,60*,1735,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,NET: Top 2 box,255,149,107,36,31,77,64,34,19,26,72,70,57,56,13,11,34,19,29,10,14,17,52,32,16,8,221,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,5 - Relying completely on people I know/people in my local area/people on social media,64,41,23,7,6,20,16,10,4,8,12,17,16,20,1,-,6,3,9,1,4,5,20,11,4,1,58,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,4,191,108,83,28,25,57,49,24,15,19,61,54,41,36,11,11,27,16,21,10,10,12,32,22,12,7,163,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,3,709,292,416,110,100,133,123,125,85,132,170,205,142,191,66,34,67,61,53,43,25,74,97,97,68,22,596,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,2,657,343,313,91,74,89,93,108,117,159,187,185,143,143,50,23,75,47,64,49,42,63,76,93,59,16,548,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,1 - Relying completely on media/official sources,449,235,215,44,39,39,38,91,80,156,136,124,79,110,47,17,48,41,34,47,18,42,50,56,34,14,370,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,NET: Bottom 2 box,1106,578,528,135,114,128,132,199,197,315,323,308,222,253,97,40,123,89,98,96,61,105,126,149,93,30,918,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,Mean,2.4,2.39,2.42,2.51,2.53,2.79,2.72,2.31,2.16,2.08,2.34,2.41,2.46,2.43,2.26,2.46,2.42,2.36,2.48,2.11,2.4,2.37,2.62,2.42,2.39,2.4,2.42,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2070,1019,1051,281,244,337,319,359,301,473,565,584,421,500,175,85*,224,169,181,149,100*,196,275,278,177,60*,1735,,,
