table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,-,1,8,6,10,5,9,5,12,14,14,14,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,3.48,3.56,3.26,3.53,3.47,3.36,3.45,3.59,3.4,3.46,3.62,3.61,3.61,3.62,3.6,3.59,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.85,0.93,0.85,1,0.59,0.87,0.82,0.77,0.85,0.74,0.76,0.82,0.78,0.81,0.8,0.79,-,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,271,158,113,28,26,34,40,58,51,60,63,72,59,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,271,154,117*,32**,30**,38**,47*,58*,45*,52*,79*,71*,56*,65*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,160,86,74,16,15,22,26,30,29,36,45,36,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,46,20,25,2,2,7,7,11,8,10,12,7,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,4,114,66,49,13,12,15,20,19,21,27,33,29,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,3,85,58,26,10,9,10,18,24,12,11,25,27,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,2,25,9,15,6,6,6,1,3,4,5,7,8,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
